Species	Status	min_age	max_age
Cypraea	extinct	23.04	27.03
Lyncina_camelopardalis	extant	0	2.58
Erronea_caurica	extant	0	2.58
Erosaria_erosa	extant	0	2.58
Lyncina_carneola	extant	0	2.58
Erronea_caurica	extant	0	2.58
Erosaria_ocellata	extant	0	2.58
Pustularia_cicercula	extant	0	2.58
Cypraea_(Mauritia)_histrio	extant	0.0117	2.58
Mauritia_arabica	extant	0.0117	2.58
Cypraea	extinct	33.9	37.71
Cypraea	extinct	5.333	7.246
Pedicularia	extinct	5.333	7.246
Luria_isabella	extant	2.58	3.6
Pseudozonaria_raymondrobertsi	extinct	2.58	3.6
Propustularia_caribaea	extinct	15.98	23.04
Macrocypraea_zebra	extant	11.63	15.98
Macrocypraea_zebra	extant	11.63	15.98
Muracypraea_henekeni	extinct	3.6	5.333
Cypraeorbis_noveli	extinct	3.6	5.333
Erosaria_acicularis	extant	3.6	5.333
Zonaria_spurcoides	extinct	3.6	5.333
Luria_(Basilitrona)_patrespatriae	extinct	3.6	5.333
Zonaria_spurcoides	extinct	3.6	5.333
Luria_dominicensis	extinct	3.6	5.333
Muracypraea_henekeni	extinct	3.6	5.333
Muracypraea_henekeni	extinct	5.333	11.63
Muracypraea_henekeni	extinct	5.333	11.63
Muracypraea_henekeni	extinct	5.333	11.63
Erosaria_acicularis	extant	5.333	11.63
Muracypraea_angustirima	extinct	15.98	23.04
Akleistostoma_carolinensis	extinct	2.58	5.333
Akleistostoma_carolinensis	extinct	2.58	3.6
Akleistostoma_carolinensis	extinct	2.58	3.6
Akleistostoma_carolinensis	extinct	2.58	3.6
Akleistostoma_carolinensis	extinct	2.58	3.6
Akleistostoma_carolinensis	extinct	2.58	3.6
Akleistostoma_carolinensis	extinct	2.58	3.6
Luria_dominicensis	extinct	5.333	11.63
Luria_isabella	extant	15.98	20.45
Muracypraea_woodringi	extant	5.333	11.63
Pseudozonaria_telembiensis	extinct	5.333	11.63
Muracypraea_woodringi	extant	11.63	15.98
Luria_lurida	extant	0.0117	2.58
Luria_lurida	extant	0.0117	2.58
Macrocypraea_zebra	extant	0.0117	2.58
Cypraea_pennae	extinct	15.98	23.04
Cypraea_pennae	extinct	15.98	23.04
Zonaria_tumulus	extinct	20.45	27.03
Zonaria_tumulus	extinct	20.45	27.03
Muracypraea_woodringi	extant	11.63	15.98
Cypraea	extinct	11.63	15.98
Zonaria_tumulus	extinct	20.45	27.03
Zonaria_tumulus	extinct	20.45	27.03
Zonaria_tumulus	extinct	20.45	27.03
Cypraea	extinct	3.6	5.333
Cypraea	extinct	3.6	5.333
Cypraeidae	extinct	2.58	3.6
Erronea_(Adusta)_onyx	extinct	2.58	3.6
Cypraea	extinct	11.63	15.98
Cypraea	extinct	11.63	15.98
Cypraea	extinct	11.63	15.98
Cypraea	extinct	11.63	15.98
Cypraea	extinct	11.63	15.98
Cypraea	extinct	11.63	15.98
Cypraea	extinct	11.63	15.98
Zoila	extinct	11.63	15.98
Monetaria_annulus	extant	0.0117	0.129
Mauritia_eglantina	extant	0.0117	0.129
Cypraea_(Mauritia)_histrio	extant	0.0117	0.129
Erronea_errones	extant	0.0117	0.129
Cypraea_(Erosaria)_caputserpentis	extant	0.0117	0.129
Cypraea_(Erosaria)_helvola	extant	0.0117	0.129
Naria_erosa	extant	0.0117	0.129
Mauritia_eglantina	extant	0.0117	0.129
Pustularia_cicercula	extant	0.0117	0.129
Umbilia_(Umbilia)_hesitata	extant	5.333	11.63
Umbilia_(Umbilia)_hesitata	extant	2.58	3.6
Umbilia_(Umbilia)_hesitata	extant	2.58	3.6
Umbilia_(Umbilia)_hesitata	extant	2.58	3.6
Muracypraea_angustirima	extinct	15.98	23.04
Cypraea	extinct	0.774	2.58
Macrocypraea_cervus	extant	0.129	0.774
Akleistostoma_floridana	extinct	2.58	3.6
Cypraea	extinct	18.7	21.7
Cypraea_(Luria)_cinerea	extant	0.0117	0.129
Cypraea_(Luria)_cinerea	extant	0.129	0.774
Erosaria_acicularis	extant	0.129	0.774
Macrocypraea_zebra	extant	0.129	0.774
Macrocypraea_zebra	extant	0.0117	0.129
Macrocypraea_zebra	extant	0.129	0.774
Macrocypraea_zebra	extant	0.0117	0.129
Cypraea_(Luria)_isabella_lekalekana	extinct	2.58	5.333
Cypraea_(Cypraea)	extinct	2.58	5.333
Cypraea_(Erronea)_mbalavuensis	extinct	2.58	5.333
Erosaria_eburnea	extant	2.58	5.333
Cypraea_(Erronea)_mbalavuensis	extinct	2.58	5.333
Erosaria_eburnea	extant	2.58	5.333
Pustularia_margarita	extinct	2.58	5.333
Cypraea_(Staphylaea)_nucleus	extant	2.58	5.333
Cypraea	extinct	15.98	20.45
Cypraea	extinct	5.333	7.246
Cypraea	extinct	5.333	7.246
Cypraea	extinct	5.333	7.246
Cypraea	extinct	11.63	15.98
Barycypraea_murisimilis	extinct	5.333	11.63
Barycypraea_murisimilis	extinct	11.63	15.98
Barycypraea_murisimilis	extinct	11.63	15.98
Barycypraea_murisimilis	extinct	5.333	11.63
Barycypraea_murisimilis	extinct	5.333	11.63
Barycypraea_orangensis	extinct	11.63	15.98
Barycypraea_suryai	extinct	11.63	15.98
Barycypraea_suryai	extinct	11.63	15.98
Barycypraea_bensoni	extinct	5.333	11.63
Barycypraea_bensoni	extinct	5.333	11.63
Zonarina_subelongata	extinct	15.98	23.04
Cypraea_tigris	extinct	5.333	11.63
Mauritia_arabica	extant	5.333	11.63
Cypraea	extinct	11.63	15.98
Cypraea_(Aricia)_simplicissima	extinct	11.63	15.98
Barycypraea_murisimilis	extinct	5.333	11.63
Cypraea_(Lyncina)_lynx	extant	5.333	11.63
Cypraea_(Lyncina)_vitellus	extant	2.58	5.333
Cypraea_(Lyncina)_vitellus	extant	11.63	15.98
Cypraea_(Lyncina)_vitellus	extant	11.63	15.98
Naria_erosa	extant	11.63	15.98
Naria_erosa	extant	2.58	3.6
Naria_erosa	extant	11.63	15.98
