clade	species	ts	te
0.0	Adusta_pulchella	1.1879416456567549	0.0
0.0	Afrocypraea_chubbi	84.913813996546	83.76522085059293
0.0	Afrozoila_caputavisensis	1.4885938028804875	0.7734267095726406
0.0	Afrozoila_gendinganensis	4.478045383741248	3.0908345020933647
0.0	Afrozoila_kendengensis	4.207577134209105	2.9426049409302877
0.0	Afrozoila_schilderi	17.127653094940456	15.476417469659824
0.0	Afrozoila_zietsmani	6.299900196768269	1.5872701673352798
0.0	Akleistostoma	5.35191657125092	3.881721297358674
0.0	Akleistostoma_bairdi	4.078641020494422	2.900059110429033
0.0	Akleistostoma_carolinensis	5.4533703910333635	0.035278771711389094
0.0	Akleistostoma_crocodila	3.88130431804379	2.859341636349855
0.0	Akleistostoma_diegelae	3.6803201445416573	2.671224298295541
0.0	Akleistostoma_erici	3.143190805084041	2.237759001492025
0.0	Akleistostoma_floridana	3.7597411053697374	2.092799474614451
0.0	Akleistostoma_hughesi	4.278541292195509	2.565467210566678
0.0	Akleistostoma_jenniferae	3.8250242130435637	2.8110707199255485
0.0	Akleistostoma_macbrideae	3.4089739350729507	2.5024612628646703
0.0	Akleistostoma_pilsbryi	4.72595686188646	2.5770189637590115
0.0	Akleistostoma_rilkoi	3.2185749677942788	2.349277192997098
0.0	Archicypraea	63.392242389627405	61.86145274399782
0.0	Archicypraea_ancillaria	42.54791681287673	38.03342057174782
0.0	Archicypraea_bellardiana	51.24153590660891	49.64469772815519
0.0	Archicypraea_lioyi	47.9377139105574	46.34186225808836
0.0	Archicypraea_prisca	61.93879039430529	40.75058524241659
0.0	Archicypraea_superba	47.629056912473	45.992964821459395
0.0	Arestorides_argus	0.3966724524522214	0.0
0.0	Austrocypraea_amae	4.49947271480283	1.3715121005935402
0.0	Austrocypraea_contusa	18.719837748255603	9.372287640426995
0.0	Austrocypraea_goudeyana	16.8473376761444	14.94448514185833
0.0	Austrocypraea_rumballi	16.97884908791272	14.061223409846008
0.0	Austrocypraea_towncreekensis	44.21181736889084	42.512852121927956
0.0	Barycypraea_bensoni	12.720507880497603	4.235645069557243
0.0	Barycypraea_caputviperae	13.377891004078869	11.654730017559276
0.0	Barycypraea_humerosa	22.407445047360163	14.511146012967117
0.0	Barycypraea_murisimilis	17.982036739733825	4.1185188074222
0.0	Barycypraea_orangensis	16.946356873493215	1.4594578318329212
0.0	Barycypraea_saltoensis	39.34564975455679	34.56855259459687
0.0	Barycypraea_singuensis	26.15647064171901	24.793699119102694
0.0	Barycypraea_subtetragona	12.298115510555457	10.663667736817777
0.0	Barycypraea_suryai	18.026741458292335	9.216174755538752
0.0	Bernaya	64.7533837102444	57.100337205428346
0.0	Bernaya_(Bernaya)_azevedoi	81.87177349244087	71.81394793953997
0.0	Bernaya_(Bernaya)_baluchistanensis	70.90234207170322	69.81745473254861
0.0	Bernaya_(Bernaya)_beardi	81.85704904321913	80.74958986874715
0.0	Bernaya_(Bernaya)_burlingtonensis	86.30010252118826	62.785535770640344
0.0	Bernaya_(Bernaya)_coromandelica	88.4924363666719	87.30991586099495
0.0	Bernaya_(Bernaya)_crawfordcatei	83.9557005885534	69.38442687903529
0.0	Bernaya_(Bernaya)_depereti	93.74330405140387	92.67136261443977
0.0	Bernaya_(Bernaya)_ellipsoides	49.71517411957306	48.049867782559545
0.0	Bernaya_(Bernaya)_gemmellaroi	147.7878483103789	147.67105002467798
0.0	Bernaya_(Bernaya)_jeanae	81.44404922274315	80.30118170551305
0.0	Bernaya_(Bernaya)_obesa	50.05237223361556	33.35049772969484
0.0	Bernaya_(Protocypraea)_argonautica	95.51742117765033	88.49023394828171
0.0	Bernaya_(Protocypraea)_berryessae	92.56142836134708	91.37792288526087
0.0	Bernaya_(Protocypraea)_cunliffei	82.07206650630692	80.85034319105503
0.0	Bernaya_(Protocypraea)_globuliformis	66.72769404662395	61.30168772225016
0.0	Bernaya_(Protocypraea)_gualalaensis	85.7925296847316	72.19302348924427
0.0	Bernaya_(Protocypraea)_kayei	88.3519139444427	87.33411958283362
0.0	Bernaya_(Protocypraea)_kohatica	57.560231432069095	55.91702475967582
0.0	Bernaya_(Protocypraea)_louellasaulae	75.46735450559822	74.4354255574869
0.0	Bernaya_(Protocypraea)_mississippiensis	80.52289212870652	79.49250625851731
0.0	Bernaya_(Protocypraea)_popenoei	74.74710135067136	73.27633466768127
0.0	Bernaya_(Protocypraea)_rineyi	78.58040161988644	75.27104141610893
0.0	Bernaya_(Protocypraea)_sayni	123.17148647019187	123.05708793738022
0.0	Bernaya_(Protocypraea)_veraghoorensis	73.77596007760796	72.6789317824558
0.0	Bernaya_grovesi	57.408997548126976	53.522594806587
0.0	Bernaya_kaylinae	60.27099032499163	37.719868672412204
0.0	Bernaya_quarunensis	40.71784180618729	39.06441039854556
0.0	Bistolida	6.86437871040823	5.933595845664045
0.0	Bistolida_erythraeensis	2.1026206427293253	0.0
0.0	Callistocypraea_(Miolyncina)_prunum	23.5812971367899	13.650224201227179
0.0	Callistocypraea_(Miolyncina)_soriensis	45.18951455514403	43.56517504361887
0.0	Calusacypraea_(Myakkacypraea)_kelleyi	3.9747410453560152	2.887299383748844
0.0	Calusacypraea_(Myakkacypraea)_myakka	3.381049767332981	2.3909632654247464
0.0	Calusacypraea_(Myakkacypraea)_schnireli	3.443024675866131	2.4574831741205987
0.0	Calusacypraea_briani	4.3350363496637065	2.0880794527508484
0.0	Calusacypraea_globulina	3.5025377691478314	2.5011264135809506
0.0	Calusacypraea_sarasotaensis	4.397661920767598	2.297307112220614
