clade	species	ts	te
0.0	Adusta_pulchella	1.329071636936375	0.0
0.0	Afrocypraea_chubbi	84.95178073761198	83.68507400944756
0.0	Afrozoila_caputavisensis	1.550696114475698	0.7592075212167108
0.0	Afrozoila_gendinganensis	4.417051279444106	3.097784447922295
0.0	Afrozoila_kendengensis	4.174279165628553	2.847296081368798
0.0	Afrozoila_schilderi	17.17863988791623	15.311802145457184
0.0	Afrozoila_zietsmani	7.033029547555044	1.2723733575365819
0.0	Akleistostoma	5.345437225022569	4.0144323810812015
0.0	Akleistostoma_bairdi	4.094628118918206	2.740274426239935
0.0	Akleistostoma_carolinensis	5.726184831265456	0.0338469334287977
0.0	Akleistostoma_crocodila	4.018325876139746	2.625370290910683
0.0	Akleistostoma_diegelae	3.8315678059739686	2.3766041268244478
0.0	Akleistostoma_erici	3.306769345259009	2.0922129126468567
0.0	Akleistostoma_floridana	3.892525841607072	1.9478324423937403
0.0	Akleistostoma_hughesi	4.483225687283579	2.234714127584615
0.0	Akleistostoma_jenniferae	3.9668722766035773	2.5687202593134995
0.0	Akleistostoma_macbrideae	3.5637694288085573	2.261555338038585
0.0	Akleistostoma_pilsbryi	4.8682432222308085	2.2723892520630518
0.0	Akleistostoma_rilkoi	3.359709615177183	2.1657219524810216
0.0	Archicypraea	63.61308734175426	61.76487031606919
0.0	Archicypraea_ancillaria	42.201099477471004	38.2733073591717
0.0	Archicypraea_bellardiana	51.59815101224518	49.49940016290127
0.0	Archicypraea_lioyi	48.1790887558253	46.03172197300326
0.0	Archicypraea_prisca	59.29375514468333	43.60694788351692
0.0	Archicypraea_superba	47.68950283462232	45.89688238155478
0.0	Arestorides_argus	0.6650249610114944	0.0
0.0	Austrocypraea_amae	4.528188486398647	1.2378986603364444
0.0	Austrocypraea_contusa	19.104406833423507	9.677361172391736
0.0	Austrocypraea_goudeyana	16.746731711361765	14.935654834667217
0.0	Austrocypraea_rumballi	16.72249697679997	14.224687574529922
0.0	Austrocypraea_towncreekensis	44.386171846717936	42.37814210138124
0.0	Barycypraea_bensoni	11.428051572382794	4.803219866993482
0.0	Barycypraea_caputviperae	13.421822799062713	11.401409504052852
0.0	Barycypraea_humerosa	23.052896883532245	13.888191262959657
0.0	Barycypraea_murisimilis	18.26692528972101	3.9296121700954787
0.0	Barycypraea_orangensis	15.769647244922215	1.5094159927898996
0.0	Barycypraea_saltoensis	39.03666014479816	34.71895268699957
0.0	Barycypraea_singuensis	26.178080408302563	24.752556276372534
0.0	Barycypraea_subtetragona	12.43540118532057	10.475559189472849
0.0	Barycypraea_suryai	16.841191391540672	10.215365692359828
0.0	Bernaya	64.38788333452399	57.55772305582104
0.0	Bernaya_(Bernaya)_azevedoi	81.33128390486972	72.45593484328485
0.0	Bernaya_(Bernaya)_baluchistanensis	70.91648612760106	69.75818505263689
0.0	Bernaya_(Bernaya)_beardi	81.85244779633044	80.76302147730797
0.0	Bernaya_(Bernaya)_burlingtonensis	84.7715090952903	65.669101654571
0.0	Bernaya_(Bernaya)_coromandelica	88.56278187695129	87.23631249462993
0.0	Bernaya_(Bernaya)_crawfordcatei	83.18386734103294	70.51490453637066
0.0	Bernaya_(Bernaya)_depereti	93.82569005047985	92.57130559957125
0.0	Bernaya_(Bernaya)_ellipsoides	50.042638238368355	47.966539770855825
0.0	Bernaya_(Bernaya)_gemmellaroi	148.11434527884393	147.386770264452
0.0	Bernaya_(Bernaya)_jeanae	81.56694818172757	80.2283717207478
0.0	Bernaya_(Bernaya)_obesa	47.86552576040998	35.74447224361705
0.0	Bernaya_(Protocypraea)_argonautica	95.33268980291624	88.60595464238196
0.0	Bernaya_(Protocypraea)_berryessae	92.57854173794011	91.31120187766001
0.0	Bernaya_(Protocypraea)_cunliffei	82.05873099544176	80.89444876862657
0.0	Bernaya_(Protocypraea)_globuliformis	66.76498732747524	61.623043983365946
0.0	Bernaya_(Protocypraea)_gualalaensis	85.75117567279659	72.25659959736437
0.0	Bernaya_(Protocypraea)_kayei	88.44288446037274	87.24833147418911
0.0	Bernaya_(Protocypraea)_kohatica	57.718641447722185	55.651463196272104
0.0	Bernaya_(Protocypraea)_louellasaulae	75.73353395434224	74.23996284016071
0.0	Bernaya_(Protocypraea)_mississippiensis	80.60100652060595	79.42605674508805
0.0	Bernaya_(Protocypraea)_popenoei	74.7753835023638	73.33843455323066
0.0	Bernaya_(Protocypraea)_rineyi	78.54704641558693	75.26032145500474
0.0	Bernaya_(Protocypraea)_sayni	123.30712416913377	122.91947461322773
0.0	Bernaya_(Protocypraea)_veraghoorensis	73.86236370288628	72.63112822281117
0.0	Bernaya_grovesi	56.84651384313354	54.05944688766691
0.0	Bernaya_kaylinae	58.682982923288655	39.244753857597445
0.0	Bernaya_quarunensis	40.91188872770813	38.9416435941319
0.0	Bistolida	7.3360464656075415	5.428372646622038
0.0	Bistolida_erythraeensis	2.3018670537782717	0.0
0.0	Callistocypraea_(Miolyncina)_prunum	24.25617622141807	13.02077986132035
0.0	Callistocypraea_(Miolyncina)_soriensis	45.44692146315152	43.328839908171524
0.0	Calusacypraea_(Myakkacypraea)_kelleyi	4.092821814630418	2.6733474878135306
0.0	Calusacypraea_(Myakkacypraea)_myakka	3.639725950420587	2.1695096637984856
0.0	Calusacypraea_(Myakkacypraea)_schnireli	3.5596106869631527	2.2467621938616578
0.0	Calusacypraea_briani	4.377186963872062	1.9901443843620246
0.0	Calusacypraea_globulina	3.5968939914234848	2.2919763588764206
0.0	Calusacypraea_sarasotaensis	4.420989405439919	2.1378047034110286
