time	diversity	m_div	M_div
12.015272220356009	72.0	72.0	72.0
12.115399488858976	75.0	75.0	75.0
12.215526757361943	78.0	78.0	78.0
12.315654025864909	76.0	76.0	76.0
12.415781294367877	78.0	78.0	78.0
12.515908562870843	79.0	79.0	79.0
12.616035831373809	82.0	82.0	82.0
12.716163099876777	82.0	82.0	82.0
12.816290368379743	82.0	82.0	82.0
12.91641763688271	83.0	83.0	83.0
13.016544905385677	84.0	84.0	84.0
13.116672173888643	85.0	85.0	85.0
13.21679944239161	85.0	85.0	85.0
13.316926710894577	85.0	85.0	85.0
13.417053979397544	83.0	83.0	83.0
13.51718124790051	84.0	84.0	84.0
13.617308516403478	83.0	83.0	83.0
13.717435784906444	86.0	86.0	86.0
13.81756305340941	84.0	84.0	84.0
13.917690321912378	84.0	84.0	84.0
14.017817590415344	83.0	83.0	83.0
14.11794485891831	88.0	88.0	88.0
14.218072127421278	89.0	89.0	89.0
14.318199395924244	88.0	88.0	88.0
14.41832666442721	85.0	85.0	85.0
14.518453932930178	89.0	89.0	89.0
14.618581201433145	88.0	88.0	88.0
14.71870846993611	88.0	88.0	88.0
14.818835738439079	89.0	89.0	89.0
14.918963006942045	88.0	88.0	88.0
15.019090275445011	90.0	90.0	90.0
15.119217543947979	91.0	91.0	91.0
15.219344812450945	89.0	89.0	89.0
15.319472080953911	89.0	89.0	89.0
15.41959934945688	89.0	89.0	89.0
15.519726617959845	92.0	92.0	92.0
15.619853886462812	93.0	93.0	93.0
15.71998115496578	94.0	94.0	94.0
15.820108423468746	93.0	93.0	93.0
15.920235691971712	97.0	97.0	97.0
16.020362960474678	98.0	98.0	98.0
16.120490228977644	98.0	98.0	98.0
16.220617497480614	101.0	101.0	101.0
16.32074476598358	104.0	104.0	104.0
16.420872034486546	103.0	103.0	103.0
16.520999302989512	103.0	103.0	103.0
16.62112657149248	104.0	104.0	104.0
16.721253839995445	103.0	103.0	103.0
16.821381108498414	104.0	104.0	104.0
16.92150837700138	102.0	102.0	102.0
17.021635645504347	101.0	101.0	101.0
17.121762914007313	101.0	101.0	101.0
17.22189018251028	101.0	101.0	101.0
17.322017451013245	98.0	98.0	98.0
17.422144719516215	94.0	94.0	94.0
17.52227198801918	94.0	94.0	94.0
17.622399256522147	100.0	100.0	100.0
17.722526525025113	96.0	96.0	96.0
17.82265379352808	95.0	95.0	95.0
17.922781062031046	96.0	96.0	96.0
18.022908330534015	96.0	96.0	96.0
18.12303559903698	95.0	95.0	95.0
18.223162867539948	94.0	94.0	94.0
18.323290136042914	96.0	96.0	96.0
18.42341740454588	96.0	96.0	96.0
18.523544673048846	95.0	95.0	95.0
18.623671941551816	96.0	96.0	96.0
18.723799210054782	94.0	94.0	94.0
18.82392647855775	93.0	93.0	93.0
18.924053747060714	89.0	89.0	89.0
19.02418101556368	88.0	88.0	88.0
19.124308284066647	87.0	87.0	87.0
19.224435552569616	86.0	86.0	86.0
19.324562821072583	87.0	87.0	87.0
19.42469008957555	83.0	83.0	83.0
19.524817358078515	83.0	83.0	83.0
19.62494462658148	83.0	83.0	83.0
19.725071895084447	84.0	84.0	84.0
19.825199163587413	83.0	83.0	83.0
19.925326432090383	83.0	83.0	83.0
20.02545370059335	83.0	83.0	83.0
