it	posterior	likelihood	prior	lik_L_149-0	lik_M_149-0	l0_t149-0	m0_t149-0	Gl_t149-0	Gm_t149-0	hp_rate	hp_sig2	beta
99000.0	-2837.2677032392235	-2836.3768128579704	-0.8908903812530463	-1494.2941812466627	-1342.082631611308	0.18793596416142527	0.13960984573545465	0.1421158360780131	0.5419127934985435	1.3035148687554274	0.1787505367291181	1.0	
100000.0	-2835.269026978616	-2834.391913174722	-0.8771138038937059	-1492.5080688615856	-1341.8838443131365	0.1742823499435567	0.138770069840603	0.17369379114243283	0.695174948651277	2.619509088326604	0.85691316065448	1.0	
101000.0	-2833.772636436829	-2833.4536140032033	-0.31902243362596217	-1492.8235283688807	-1340.6300856343228	0.17373666472781366	0.15161609608806298	-0.014655174378896796	0.8472726295386329	4.183043444957834	0.4035600787791492	1.0	
102000.0	-2835.6361839019446	-2833.3418004955424	-2.2943834064022743	-1492.881976536778	-1340.4598239587644	0.1671252962401107	0.1495745620212582	0.17228025151531418	0.7617286024395221	0.8625375323596426	0.21186124590795677	1.0	
103000.0	-2835.1357333316596	-2834.358819546542	-0.7769137851177637	-1493.6945460297109	-1340.6642735168311	0.17290258324233382	0.15488198004698722	0.4050255360503596	0.7129505033755963	3.016479618821103	0.7471667443032103	1.0	
104000.0	-2837.228664740038	-2835.595854781584	-1.6328099584538216	-1492.662039947359	-1342.933814834225	0.1703082995979621	0.1363456380508266	0.03287058282646137	0.8938804486633118	1.551497053100455	0.25715720440281786	1.0	
105000.0	-2837.308960015474	-2836.8123273269857	-0.4966326884882746	-1493.5050020781327	-1343.3073252488532	0.18322334334363857	0.15100318526114467	0.06305786545259215	0.2771860370256792	0.7492671361334073	0.05433187258912349	1.0	
106000.0	-2840.1871201801982	-2838.3258619965663	-1.8612581836321103	-1493.0195763451388	-1345.3062856514277	0.17585627798927436	0.1306282556328141	0.31386388533181137	0.5004862881867268	0.8346599230674295	0.10531687045077776	1.0	
107000.0	-2834.927360921066	-2834.0775337380824	-0.8498271829833113	-1492.9827741574654	-1341.094759580617	0.1694760304087341	0.15628767730803167	0.26991760365369977	0.5957187062697221	1.7570996757834407	0.13860437174469412	1.0	
108000.0	-2835.3577396310234	-2833.1946323446045	-2.1631072864187075	-1492.625436208658	-1340.5691961359466	0.1693982565326606	0.1509646363536317	0.07634886698701865	0.6410791016120352	0.7304411169256678	0.16391981982756718	1.0	
109000.0	-2835.267000018683	-2833.3203224739573	-1.946677544725704	-1492.8379527125157	-1340.4823697614415	0.16733750068634665	0.15093666403547737	0.1626446678684489	0.6852539977537542	2.1870653674420963	2.397399007295528	1.0	
110000.0	-2838.080768561963	-2837.0866532236096	-0.9941153383535027	-1495.1467720351347	-1341.9398811884748	0.15902693587560043	0.14584581209196035	-0.16788729809831848	0.4167916968341013	1.2025617311022838	0.3118663207219605	1.0	
111000.0	-2837.0884057247304	-2836.2086851215295	-0.8797206032007737	-1492.9400745679036	-1343.2686105536259	0.17927554530663453	0.1474542888945639	0.05769529111626279	0.2778317561783064	0.629183915052252	0.06896406880548252	1.0	
112000.0	-2835.0912750708053	-2834.377787799357	-0.7134872714484501	-1492.8677337351398	-1341.5100540642175	0.166622729688087	0.16066358648562654	0.11316320893479823	0.7109727511657519	2.2324227766879954	0.4217901529054978	1.0	
113000.0	-2838.6571033499636	-2838.4538148658257	-0.20328848413792494	-1493.0173477730755	-1345.4364670927503	0.1805095679919237	0.16217391625356475	0.08390507617131833	0.2476477729729359	0.914180103684853	0.07598678939203281	1.0	
114000.0	-2836.6309524622134	-2834.9036350310093	-1.7273174312040522	-1493.9565663847015	-1340.9470686463078	0.1820904376426931	0.14775082690752447	-0.05458260807802143	0.9137461525041144	1.8065620696462728	1.1004157001143104	1.0	
115000.0	-2839.596613412979	-2837.1802813556833	-2.416332057295484	-1493.9486856500603	-1343.231595705623	0.1733059277249408	0.13447993926724144	0.4340609688221606	0.7738596839311567	1.1135320312564405	0.1833085681220887	1.0	
116000.0	-2834.816483442054	-2833.690398209295	-1.1260852327592814	-1493.1480787211508	-1340.5423194881441	0.17041337039754048	0.15269786634508406	0.3134350077793663	0.6831306315156167	1.8205115468431308	0.16782029087195402	1.0	
117000.0	-2834.8755335227856	-2833.474855903175	-1.400677619610803	-1492.4975301033041	-1340.977325799871	0.17486237475576938	0.14378255961967698	0.1457613656557082	0.8102940282597847	1.7909232065670582	0.18217071375529337	1.0	
118000.0	-2837.166010842569	-2836.473775678422	-0.692235164147077	-1495.8674758286386	-1340.6062998497835	0.1890295891573729	0.15381317004427356	0.4692535014130811	0.6858338570407724	2.94069200639851	0.2446243112362046	1.0	
119000.0	-2836.0076143945516	-2834.9934978118376	-1.0141165827138785	-1493.1329839832672	-1341.8605138285704	0.16928120697267196	0.15209879586859132	0.294965078618316	0.4184601246976555	1.5552046805263824	0.052143019670868034	1.0	
120000.0	-2833.7528214592626	-2833.090283426044	-0.6625380332182997	-1492.5653562114185	-1340.5249272146257	0.1712752722373303	0.15146863805569855	0.1817936710082046	0.805976305959934	2.6755632258286073	0.3753850478243205	1.0	
121000.0	-2838.8294822542684	-2835.8878845375602	-2.941597716708184	-1493.2640646528887	-1342.6238198846718	0.16390400574285724	0.13753619930655878	0.09988600114332669	0.9050807086911721	0.6791783777488049	0.37312058517713	1.0	
122000.0	-2835.4840667995763	-2833.8073754725892	-1.6766913269872603	-1492.8688121000257	-1340.9385633725637	0.17357381736895017	0.14552478895303897	0.28795422155708583	0.5897238776759037	0.9729892999913143	0.24717572861159134	1.0	
123000.0	-2836.2831159927873	-2835.5977784041233	-0.6853375886641526	-1494.872136755459	-1340.7256416486646	0.16816829501179617	0.1516401566614803	-0.2621387114862006	0.8751975189747786	3.398671878938176	0.28610860039145686	1.0	
124000.0	-2833.9087205998867	-2834.192940673218	0.2842200733311063	-1492.9623587100318	-1341.2305819631863	0.1793549113986396	0.15172423989434772	0.053744697620926485	0.49910814334878384	2.7569488336029297	0.08969993779379383	1.0	
125000.0	-2838.1332883949467	-2836.4437220409577	-1.6895663539889831	-1495.4733850558077	-1340.97033698515	0.16457555557531903	0.15392521434627643	-0.29502965743208126	0.9071651769318757	1.5721532181258318	0.6200502101618979	1.0	
126000.0	-2838.7617728312907	-2836.0949594061126	-2.6668134251781384	-1493.4156641301704	-1342.6792952759422	0.1776910850338854	0.1600531651939685	-0.06759783802690245	0.4427162809439375	0.6423948080762673	0.03148517004652658	1.0	
