it	posterior	likelihood	prior	lik_L_149-0	lik_M_149-0	l0_t149-0	m0_t149-0	Gl_t149-0	Gm_t149-0	hp_rate	hp_sig2	beta
12000	-2819.670446050892	-2818.0165677760833	-1.6538782748088001	-1487.644019282742	-1330.3725484933414	0.16440693838622594	0.13791306138716752	-0.6834719735246785	-1.0137719404310057	2.605506305546967	0.40408773592855773	1.0
13000	-2820.085080235347	-2817.7102315095717	-2.374848725775415	-1487.737006811176	-1329.9732246983958	0.16565478952081847	0.13565723507573269	-0.529649497576619	-1.4191084754175178	2.9170314118066276	0.4365109754792293	1.0
14000	-2819.877212470252	-2817.777084203966	-2.1001282662860694	-1487.9532619571	-1329.8238222468658	0.16269075261661478	0.13787898360924603	-0.5010659399857312	-1.2084676632177336	1.770672345101263	0.6800144953220838	1.0
15000	-2820.7949411419254	-2817.320719164961	-3.4742219769644294	-1487.9320198784333	-1329.3886992865273	0.16072345004462557	0.13284677756065805	-0.7859855498430571	-1.3084923773854746	0.9590115766235148	0.7426797149745445	1.0
16000	-2821.3923879352283	-2820.1112451134622	-1.2811428217662049	-1488.4779752072204	-1331.6332699062416	0.16142403489759954	0.13344698204808664	-0.42737542708482223	-0.868235436174183	2.230417664489578	0.8530359789890761	1.0
17000	-2820.135141661038	-2817.840973433843	-2.2941682271948522	-1487.7664604121758	-1330.0745130216674	0.16153225504211868	0.13801773100830222	-0.5857397783595572	-1.3427545862788344	2.003551886013473	2.070191971236019	1.0
18000	-2820.5467934940884	-2817.77467554329	-2.7721179507983047	-1487.9406840505922	-1329.8339914926978	0.16978982715764906	0.1371069894525826	-0.6644122655726543	-1.136412402181183	1.577902256557181	0.3660042381486322	1.0
19000	-2825.4050246367165	-2823.4152788955867	-1.9897457411298163	-1490.710501403114	-1332.7047774924727	0.1465989843034705	0.14113833712442575	-0.7268260961111712	-0.7524000842228808	2.2714493741557282	2.5126876044364383	1.0
20000	-2826.0123311183315	-2819.379014681928	-6.633316436403711	-1488.1538585051958	-1331.225156176732	0.1636001831420494	0.14447780691324028	-0.8316636961851741	-1.0320093709425362	0.14533865520985473	0.714089783695523	1.0
21000	-2822.3991936075986	-2820.198261744621	-2.2009318629775985	-1488.5357096444925	-1331.6625521001288	0.17024080723196738	0.12884632052097006	-0.7852020501790203	-0.9313776355147181	1.477765760419364	0.7668928685561752	1.0
22000	-2821.3009725641023	-2818.5924642215273	-2.708508342575056	-1488.702802505405	-1329.8896617161222	0.17178559338884763	0.1382335415507106	-0.7706986001860177	-1.2455330395466457	1.4768547367758953	1.8394350689316232	1.0
23000	-2822.5425530754096	-2819.2923539484054	-3.2501991270043575	-1489.185476380686	-1330.1068775677195	0.1558093804126418	0.13397407487777027	-0.9709800263121267	-1.4935685430820305	1.2489378750367741	1.239030222048186	1.0
24000	-2824.203639376846	-2822.085466815094	-2.1181725617517193	-1488.3799754182478	-1333.7054913968464	0.1584654948487039	0.13855497394705177	-0.5142284560489401	-0.6709922470153741	1.3624006773654949	0.14902693366266934	1.0
25000	-2825.5967490909084	-2820.6017575846454	-4.99499150626312	-1488.0103167844381	-1332.5914408002072	0.16377122509540162	0.14103289037178307	-0.4727510009669451	-0.7622183784281975	0.3483941458818485	0.13743823358560076	1.0
26000	-2820.1605572425046	-2817.413381401834	-2.7471758406703994	-1487.901254868995	-1329.512126532839	0.16243532890373596	0.13165310505518463	-0.7843105855495235	-1.4172642536331879	1.9382523159682779	0.6065761629183836	1.0
27000	-2821.1806598391304	-2818.7296242945595	-2.451035544570776	-1487.81529424051	-1330.9143300540495	0.16682169130392976	0.1416554229930629	-0.7146942872201745	-1.340569176268737	2.5357139224403924	4.096915808929937	1.0
28000	-2821.5847729172197	-2818.9639808858456	-2.6207920313741755	-1489.0829991836129	-1329.8809817022325	0.15212580350367527	0.12520919164103192	-0.6830078007946563	-1.2913473659994208	2.5343030966185998	0.3604487076845501	1.0
29000	-2820.5311207480677	-2817.697237856974	-2.8338828910936025	-1488.05225542389	-1329.644982433084	0.1715643270232196	0.13640564414556855	-0.6131094890853698	-1.2302769788001966	2.574145996928948	0.2808086249011934	1.0
30000	-2820.533882936246	-2817.9162255102688	-2.6176574259771392	-1488.2949418380358	-1329.621283672233	0.1701138609505628	0.12690429534275882	-0.40909553951477895	-1.2947564089049084	1.3123791385575558	0.7790124564100207	1.0
31000	-2822.695768121407	-2820.909362694726	-1.786405426681188	-1489.956395977087	-1330.952966717639	0.14990863278853625	0.13770959643039468	-0.6146144351944052	-0.9244211187768439	1.8257973920287265	0.39755771193098377	1.0
32000	-2823.174840323012	-2819.581367472936	-3.5934728500761572	-1487.8276240036653	-1331.753743469271	0.159636546242311	0.14166939793686054	-0.7067769209731147	-1.4625137716635508	0.9055287877672286	1.491425746973665	1.0
33000	-2824.122065950934	-2820.1531853066076	-3.968880644326371	-1490.406803639194	-1329.7463816674135	0.18282142316627073	0.125736552018829	-0.3840356914266896	-1.4970780932347216	1.2454308372454554	0.37820153143849883	1.0
34000	-2822.2948400776813	-2817.8286331765785	-4.466206901102897	-1488.1499314395182	-1329.6787017370602	0.15975002525640758	0.1254280005773514	-0.523978555795865	-1.3782746031528121	0.889376296313203	0.3366832949819926	1.0
35000	-2823.273655124193	-2820.23655881014	-3.037096314052649	-1489.2208537079985	-1331.015705102142	0.16223301018355163	0.1435952471180551	-0.32256025809897093	-1.2288060303964312	0.9969262347440809	0.5295930095484692	1.0
36000	-2819.559933853527	-2817.2409800586665	-2.318953794860644	-1487.7145056365825	-1329.526474422084	0.16122324035503136	0.12770343869864043	-0.6347633514890355	-1.4439021819699456	1.962803161562816	0.9362381726652504	1.0
37000	-2818.4309073744957	-2817.383847160336	-1.0470602141599277	-1487.6756595178585	-1329.7081876424772	0.16722335983118755	0.13475560963777042	-0.5804321141735755	-1.134273182235344	5.190492659412004	1.4632840252784416	1.0
38000	-2827.728960394707	-2821.941698336365	-5.787262058341882	-1492.3499952199832	-1329.5917031163817	0.15752913578540126	0.13587868006702647	-1.243807033540868	-1.253869213265245	1.8591934361894635	0.26038051823721176	1.0
39000	-2822.9719870656686	-2821.7389518984446	-1.2330351672240192	-1490.327096311919	-1331.411855586526	0.17190937273478513	0.14199944449430488	-0.9449390767689775	-0.9040205403056544	3.798629201001521	1.0968188883994088	1.0
40000	-2824.1939903876532	-2821.6461466000737	-2.5478437875796693	-1490.4663133993831	-1331.1798332006906	0.18198298805818597	0.14063988578006262	-0.3150080257887877	-0.9168310233186917	0.9523485101806175	0.6793286824637161	1.0
41000	-2826.5132475585206	-2824.6931891324243	-1.820058426096164	-1489.7687545980398	-1334.9244345343845	0.1808380602117359	0.13031256331890267	-0.4558883984459168	-0.6662596850968648	1.6019022077098255	0.13360885450374546	1.0
42000	-2821.9119246969003	-2820.317800513394	-1.5941241835061202	-1489.186986330232	-1331.1308141831619	0.15947234629300455	0.12885907055850204	-0.3720222324165692	-0.9844120309825185	2.0524452759024254	0.3150731617052961	1.0
43000	-2820.455467985472	-2817.977296282978	-2.4781717024941363	-1487.8238080905244	-1330.1534881924536	0.16767131760871823	0.13725477036028796	-0.5056196651844141	-1.0495965593386798	2.2623481397413427	0.2186804813285548	1.0
44000	-2821.4083794455705	-2820.786744054172	-0.6216353913985302	-1488.7121126641725	-1332.0746313899992	0.15749042704979963	0.14010664157821254	-0.4847438838498755	-0.8074857319962596	3.3712524761315237	0.3588548824342656	1.0
45000	-2823.27108996246	-2820.6392897208825	-2.6318002415774204	-1490.1838399506266	-1330.455449770256	0.18071255342485643	0.14141543559119493	-0.6566311943945733	-1.2185100211226576	1.3484238075762733	0.93222764540897	1.0
46000	-2823.8594644555465	-2821.380185650428	-2.479278805118682	-1489.8019454157327	-1331.5782402346954	0.1580034766332737	0.14570337033304281	-0.33649404810635275	-1.2086999296249765	1.727161344615223	0.3470099503048748	1.0
47000	-2823.6491420613597	-2817.6129674359972	-6.036174625362539	-1487.8143933531633	-1329.7985740828337	0.16509971721277208	0.134723402306473	-0.5070343882468771	-1.1097110315077856	0.24130835285445068	2.751294819362297	1.0
48000	-2822.164815429015	-2818.9992540582602	-3.165561370755014	-1488.0092303655247	-1330.9900236927356	0.1636252043832788	0.13148800961585133	-0.47480526321753813	-0.9557041792224743	1.1398929268044566	0.1983321896985994	1.0
49000	-2819.6105492187744	-2817.883937255813	-1.7266119629614232	-1488.2565634499633	-1329.6273738058496	0.1569379430285784	0.1258047498512422	-0.806360704872321	-1.3866154584789654	3.640527958237675	0.7337703763910494	1.0
50000	-2820.7121491597804	-2817.880606469771	-2.8315426900095506	-1488.2202537089029	-1329.6603527608681	0.15779420942571837	0.1299761096880974	-0.5769509919693094	-1.1824111645153867	1.1770344548336313	1.4946476843686654	1.0
