occurrence_no;record_type;reid_no;flags;collection_no;accepted_name;accepted_attr;accepted_rank;accepted_no;early_interval;late_interval;max_ma;min_ma
649027;occ;NA;NA;70084;Erosaria (Erosaria) pliostaphylaea;NA;species;342819;Late Pliocene;;3.6;2.58
649032;occ;NA;NA;70085;Erronea (Adusta) ijzermani;NA;species;342678;Middle Miocene;;15.98;11.63
649033;occ;NA;NA;70107;Pustularia kamai;NA;species;337389;Middle Miocene;;15.98;11.63
649034;occ;NA;NA;70081;Pustularia kamai;NA;species;337389;Middle Miocene;;15.98;11.63
649035;occ;NA;NA;70079;Erronea (Adusta) jungens;NA;species;342985;Late Pliocene;;3.6;2.58
649036;occ;NA;NA;70085;Erronea (Adusta) proxima;NA;species;343961;Middle Miocene;;15.98;11.63
649037;occ;NA;NA;70085;Erronea (Adusta) rembangensis;NA;species;343315;Middle Miocene;;15.98;11.63
649038;occ;NA;NA;70085;Erronea (Adusta) sondeiana;NA;species;342838;Middle Miocene;;15.98;11.63
649040;occ;NA;NA;70084;Erronea (Adusta) semicostata;NA;species;342496;Late Pliocene;;3.6;2.58
649041;occ;NA;NA;70084;Erronea (Adusta) sondeiana;NA;species;342838;Late Pliocene;;3.6;2.58
649042;occ;NA;NA;70079;Erronea (Adusta) sondeiana;NA;species;342838;Late Pliocene;;3.6;2.58
649213;occ;NA;NA;70085;Erronea (Cribraria) cincta;NA;species;342027;Middle Miocene;;15.98;11.63
649214;occ;NA;NA;70086;Notadusta egregia;NA;species;342485;Middle Miocene;;15.98;11.63
649215;occ;NA;NA;70086;Notadusta spolongensis;NA;species;342310;Middle Miocene;;15.98;11.63
649217;occ;NA;NA;70084;Palmadusta (Palmadusta) modjokertensis;NA;species;342334;Late Pliocene;;3.6;2.58
649219;occ;NA;NA;70085;Pustularia lodanensis;NA;species;337391;Middle Miocene;;15.98;11.63
649222;occ;NA;NA;70085;Erosaria everwijni;NA;species;337387;Middle Miocene;;15.98;11.63
649223;occ;NA;NA;70086;Erosaria everwijni;NA;species;337387;Middle Miocene;;15.98;11.63
649227;occ;NA;NA;70079;Staphylaea (Nuclearia) soloensis;NA;species;342221;Late Pliocene;;3.6;2.58
649230;occ;NA;NA;70084;Afrozoila kendengensis;NA;species;342875;Late Pliocene;;3.6;2.58
649231;occ;NA;NA;70121;Cypraea (Staphylaea) nucleus;NA;species;170608;Middle Miocene;;15.98;11.63
649335;occ;NA;NA;70138;Cypraea (Aricia) beberkiriana;NA;species;341896;Late Miocene;;11.63;5.333
650312;occ;NA;NA;70306;Cypraea;NA;genus;9724;Middle Miocene;;15.98;11.63
652809;occ;NA;NA;70513;Cypraea;NA;genus;9724;Messinian;;7.246;5.333
654976;occ;NA;NA;70717;Notoluponia pyrulata;NA;species;338761;Early Miocene;;23.04;15.98
655007;occ;NA;NA;70714;Lyncina (Austrocypraea) archeri;NA;species;334848;Early Miocene;;23.04;15.98
655008;occ;NA;NA;70714;Zoila gigas;NA;species;335748;Early Miocene;;23.04;15.98
655009;occ;NA;NA;70714;Lyncina (Austrocypraea) scalena;NA;species;338763;Early Miocene;;23.04;15.98
655010;occ;NA;NA;70714;Zoila platypyga;NA;species;335737;Early Miocene;;23.04;15.98
655011;occ;NA;NA;70714;Cypraea;NA;genus;9724;Early Miocene;;23.04;15.98
655414;occ;NA;NA;70785;Cypraea;NA;genus;9724;Messinian;;7.246;5.333
655452;occ;NA;NA;70786;Cypraea;NA;genus;9724;Messinian;;7.246;5.333
655913;occ;NA;NA;70860;Cypraea;NA;genus;9724;Messinian;;7.246;5.333
655956;occ;NA;NA;70861;Cypraea;NA;genus;9724;Messinian;;7.246;5.333
656023;occ;NA;NA;70863;Cypraea;NA;genus;9724;Messinian;;7.246;5.333
656111;occ;NA;NA;70864;Cypraea;NA;genus;9724;Messinian;;7.246;5.333
656311;occ;NA;NA;70880;Cypraea;NA;genus;9724;Messinian;;7.246;5.333
656366;occ;NA;NA;70882;Cypraea;NA;genus;9724;Messinian;;7.246;5.333
656568;occ;NA;NA;70887;Cypraea;NA;genus;9724;Messinian;;7.246;5.333
658777;occ;NA;NA;71048;Cypraea;NA;genus;9724;Late Miocene;;11.63;5.333
661168;occ;NA;NA;71237;Umbilia (Umbilia) platyrhyncha;NA;species;334867;Late Oligocene;;27.03;23.04
662317;occ;NA;NA;71238;Zoila;NA;genus;10703;Late Oligocene;Early Miocene;27.03;15.98
662318;occ;NA;NA;71238;Austrocypraea contusa;NA;species;337405;Late Oligocene;Early Miocene;27.03;15.98
662321;occ;NA;NA;71238;Umbilia (Umbilia) leptorhyncha;NA;species;334909;Late Oligocene;Early Miocene;27.03;15.98
662340;occ;NA;NA;71238;Zoila gigas;NA;species;335748;Late Oligocene;Early Miocene;27.03;15.98
662370;occ;NA;NA;71239;Notadusta victoriana;NA;species;335815;Early Miocene;;23.04;15.98
662382;occ;NA;NA;71240;Zoila mulderi;NA;species;335728;Early Miocene;;23.04;15.98
662397;occ;NA;NA;71241;Zoila mulderi;NA;species;335728;Early Miocene;;23.04;15.98
662399;occ;NA;NA;71241;Zoila gigas;NA;species;335748;Early Miocene;;23.04;15.98
662400;occ;NA;NA;71241;Umbilia (Palliocypraea) gastroplax;NA;species;335772;Early Miocene;;23.04;15.98
662401;occ;NA;NA;71241;Umbilia (Umbilia) eximia;NA;species;84137;Early Miocene;;23.04;15.98
662419;occ;NA;NA;71242;Zoila platypyga;NA;species;335737;Middle Miocene;;15.98;11.63
662436;occ;NA;NA;71351;Umbilia (Umbilia) leptorhyncha;NA;species;334909;Middle Miocene;;15.98;11.63
662441;occ;NA;NA;71351;Notadusta victoriana;NA;species;335815;Middle Miocene;;15.98;11.63
662444;occ;NA;NA;71351;Umbilia (Palliocypraea) gastroplax;NA;species;335772;Middle Miocene;;15.98;11.63
662445;occ;NA;NA;71351;Umbilia (Umbilia) eximia;NA;species;84137;Middle Miocene;;15.98;11.63
662451;occ;NA;NA;71351;Zoila platypyga;NA;species;335737;Middle Miocene;;15.98;11.63
662460;occ;NA;NA;71352;Umbilia (Umbilia) hesitata;NA;species;84140;Middle Miocene;;15.98;11.63
662472;occ;NA;NA;71352;Zoila gigas;NA;species;335748;Middle Miocene;;15.98;11.63
662475;occ;NA;NA;71352;Austrocypraea contusa;NA;species;337405;Middle Miocene;;15.98;11.63
667473;occ;NA;NA;71916;Zonaria porcellus;NA;species;164299;Zanclean;;5.333;3.6
668091;occ;NA;NA;72033;Afrozoila schilderi;NA;species;100880;Early Miocene;;23.04;15.98
668092;occ;NA;NA;72033;Stolida (Cribraria) quilonensis;NA;species;343170;Early Miocene;;23.04;15.98
668093;occ;NA;NA;72033;Zonaria simonnei;NA;species;100883;Early Miocene;;23.04;15.98
668094;occ;NA;NA;72033;Zonaria travancorica;NA;species;100884;Early Miocene;;23.04;15.98
669280;occ;NA;NA;72098;Erosaria (Erosaria) sabahensis;NA;species;343055;Pliocene;Pleistocene;5.333;0.0117
669281;occ;NA;NA;72098;Erronea (Adusta) cowiei;NA;species;343111;Pliocene;Pleistocene;5.333;0.0117
669282;occ;NA;NA;72098;Erronea (Adusta) posewitzi;NA;species;343112;Pliocene;Pleistocene;5.333;0.0117
669450;occ;NA;NA;72102;Erosaria (Erosaria) sabahensis;NA;species;343055;Pliocene;Pleistocene;5.333;0.0117
669451;occ;NA;NA;72102;Erronea (Adusta) cowiei;NA;species;343111;Pliocene;Pleistocene;5.333;0.0117
669452;occ;NA;NA;72102;Erronea (Adusta) posewitzi;NA;species;343112;Pliocene;Pleistocene;5.333;0.0117
669516;occ;NA;NA;72187;Umbilia (Umbilia) siphonata;NA;species;84145;Middle Miocene;;15.98;11.63
669524;occ;NA;NA;72189;Umbilia (Umbilia) hesitata;NA;species;84140;Late Miocene;;11.63;5.333
669535;occ;NA;NA;72190;Umbilia (Umbilia) siphonata;NA;species;84145;Late Miocene;;11.63;5.333
669543;occ;NA;NA;72191;Umbilia (Umbilia) eximia;NA;species;84137;Middle Miocene;;15.98;11.63
669544;occ;NA;NA;72191;Umbilia (Umbilia) leptorhyncha;NA;species;334909;Middle Miocene;;15.98;11.63
669549;occ;NA;NA;72192;Umbilia (Umbilia) hesitata;NA;species;84140;Late Miocene;;11.63;5.333
669557;occ;NA;NA;72193;Umbilia (Umbilia) angustior;NA;species;334870;Early Miocene;;23.04;15.98
669558;occ;NA;NA;72193;Umbilia (Umbilia) eximia;NA;species;84137;Early Miocene;;23.04;15.98
669579;occ;NA;NA;72196;Umbilia (Umbilia) siphonata;NA;species;84145;Middle Miocene;;15.98;11.63
669591;occ;NA;NA;72197;Umbilia (Umbilia) eximia;NA;species;84137;Middle Miocene;;15.98;11.63
669592;occ;NA;NA;72197;Umbilia (Umbilia) siphonata;NA;species;84145;Middle Miocene;;15.98;11.63
669602;occ;NA;NA;72199;Umbilia (Umbilia) prosila;NA;species;84143;Late Oligocene;;27.03;23.04
669613;occ;NA;NA;72200;Umbilia (Umbilia) eximia;NA;species;84137;Early Miocene;;23.04;15.98
669618;occ;NA;NA;72201;Umbilia (Umbilia) eximia;NA;species;84137;Middle Miocene;;15.98;11.63
669619;occ;NA;NA;72201;Umbilia (Umbilia) leptorhyncha;NA;species;334909;Middle Miocene;;15.98;11.63
669620;occ;NA;NA;72201;Umbilia (Umbilia) siphonata;NA;species;84145;Middle Miocene;;15.98;11.63
669621;occ;NA;NA;72201;Umbilia (Palliocypraea) gastroplax;NA;species;335772;Middle Miocene;;15.98;11.63
669626;occ;NA;NA;72201;Austrocypraea contusa;NA;species;337405;Middle Miocene;;15.98;11.63
669976;occ;NA;NA;72226;Umbilia (Umbilia) hesitata;NA;species;84140;Late Miocene;;11.63;5.333
669994;occ;NA;NA;72236;Umbilia (Umbilia) platyrhyncha;NA;species;334867;Late Oligocene;;27.03;23.04
670001;occ;NA;NA;72232;Umbilia (Umbilia) eximia;NA;species;84137;Middle Miocene;;15.98;11.63
670020;occ;NA;NA;72234;Umbilia (Umbilia) eximia;NA;species;84137;Late Miocene;;11.63;5.333
685445;occ;NA;NA;73800;Cypraea;NA;genus;9724;Miocene;;23.04;5.333
695274;occ;NA;NA;74861;Schilderia amygdalum;NA;species;340717;Aquitanian;;23.04;20.45
695300;occ;NA;NA;74861;Mandolina rhomboidalis;NA;species;340288;Aquitanian;;23.04;20.45
695301;occ;NA;NA;74861;Trona leporina;NA;species;249742;Aquitanian;;23.04;20.45
695302;occ;NA;NA;74861;Zonarina pinguis;NA;species;336819;Aquitanian;;23.04;20.45
695361;occ;NA;NA;74861;Schilderia subannularia;NA;species;340230;Aquitanian;;23.04;20.45
695362;occ;32102;NA;74861;Lyncina magnifica;NA;species;336813;Aquitanian;;23.04;20.45
695482;occ;NA;NA;74861;Prozonarina expansa;NA;species;340282;Aquitanian;;23.04;20.45
695491;occ;NA;NA;74861;Jousseaumea diluviana;NA;species;114854;Aquitanian;;23.04;20.45
695512;occ;NA;NA;74861;Fossacypraea eburnina;NA;species;339675;Aquitanian;;23.04;20.45
695523;occ;NA;NA;74861;Lyncina tumida;NA;species;340284;Aquitanian;;23.04;20.45
695587;occ;NA;NA;74861;Fossacypraea apiceproducta;NA;species;336396;Aquitanian;;23.04;20.45
696138;occ;NA;NA;74924;Trona trinitatensis;NA;species;106997;Early Miocene;;23.04;15.98
696853;occ;NA;NA;74958;Cypraea;NA;genus;9724;Langhian;;15.98;13.82
696947;occ;NA;NA;74961;Cypraea;NA;genus;9724;Zanclean;;5.333;3.6
697471;occ;NA;NA;74967;Erosaria spurca;NA;species;109031;Messinian;Zanclean;7.246;3.6
697486;occ;NA;NA;74967;Luria isabella;NA;species;60036;Messinian;Zanclean;7.246;3.6
698224;occ;NA;NA;74970;Zonaria;NA;genus;10704;Zanclean;;5.333;3.6
698646;occ;NA;NA;75040;Cypraea;NA;genus;9724;Messinian;Zanclean;7.246;3.6
700904;occ;NA;NA;75036;Erosaria spurca;NA;species;109031;Messinian;Zanclean;7.246;3.6
700905;occ;NA;NA;75036;Pseudozonaria raymondrobertsi;NA;species;335320;Messinian;Zanclean;7.246;3.6
700912;occ;NA;NA;74966;Muracypraea henekeni;NA;species;161733;Messinian;Zanclean;7.246;3.6
700916;occ;NA;NA;75038;Erosaria spurca;NA;species;109031;Messinian;Zanclean;7.246;3.6
700917;occ;NA;NA;75038;Pseudozonaria raymondrobertsi;NA;species;335320;Messinian;Zanclean;7.246;3.6
700918;occ;NA;NA;75038;Luria isabella;NA;species;60036;Messinian;Zanclean;7.246;3.6
700919;occ;NA;NA;75038;Muracypraea henekeni;NA;species;161733;Messinian;Zanclean;7.246;3.6
700929;occ;NA;NA;75037;Muracypraea henekeni;NA;species;161733;Messinian;Zanclean;7.246;3.6
700981;occ;NA;NA;75314;Cypraea;NA;genus;9724;Early Miocene;;23.04;15.98
700989;occ;NA;NA;75313;Cypraea;NA;genus;9724;Early Miocene;;23.04;15.98
701031;occ;NA;NA;75315;Cypraea;NA;genus;9724;Early Miocene;;23.04;15.98
701071;occ;NA;NA;74964;Macrocypraea zebra;NA;species;109181;Zanclean;;5.333;3.6
701073;occ;NA;NA;74965;Luria isabella;NA;species;60036;Zanclean;;5.333;3.6
701074;occ;NA;NA;74965;Muracypraea henekeni;NA;species;161733;Zanclean;;5.333;3.6
701089;occ;NA;NA;74959;Erosaria spurca;NA;species;109031;Langhian;;15.98;13.82
702807;occ;NA;NA;74968;Cypraea (Luria) cinerea;NA;species;167360;Zanclean;;5.333;3.6
702808;occ;NA;NA;74968;Macrocypraea;NA;genus;10084;Zanclean;;5.333;3.6
702809;occ;NA;NA;74968;Luria isabella;NA;species;60036;Zanclean;;5.333;3.6
702810;occ;NA;NA;74968;Cypraeorbis noveli;NA;species;109030;Zanclean;;5.333;3.6
702811;occ;NA;NA;74968;Pseudozonaria raymondrobertsi;NA;species;335320;Zanclean;;5.333;3.6
702818;occ;NA;NA;74968;Erosaria spurca;NA;species;109031;Zanclean;;5.333;3.6
702823;occ;NA;NA;74967;Muracypraea henekeni;NA;species;161733;Messinian;Zanclean;7.246;3.6
702834;occ;NA;NA;75040;Zonaria spurcoides;NA;species;109032;Messinian;Zanclean;7.246;3.6
702835;occ;NA;NA;75040;Muracypraea henekeni;NA;species;161733;Messinian;Zanclean;7.246;3.6
702841;occ;NA;NA;75043;Erosaria spurca;NA;species;109031;Messinian;Zanclean;7.246;3.6
702842;occ;NA;NA;75043;Cypraeorbis noveli;NA;species;109030;Messinian;Zanclean;7.246;3.6
711742;occ;NA;NA;76202;Prozonarina maxima;NA;species;105975;Chattian;;27.03;23.04
711743;occ;NA;NA;76195;Prozonarina maxima;NA;species;105975;Chattian;;27.03;23.04
711744;occ;NA;NA;76195;Proadusta parvitala;NA;species;105966;Chattian;;27.03;23.04
711746;occ;NA;NA;76199;Proadusta parvitala;NA;species;105966;Rupelian;;33.9;27.03
711748;occ;NA;NA;76195;Proadusta inaequilabiata;NA;species;105957;Chattian;;27.03;23.04
712038;occ;27642;NA;66164;Muracypraea;NA;genus;109216;Middle Miocene;;15.98;11.63
712078;occ;NA;NA;76319;Cypraea;NA;genus;9724;Holocene;;0.0117;0
713941;occ;27643;NA;76566;Muracypraea;NA;genus;109216;Middle Miocene;;15.98;11.63
714299;occ;NA;NA;76601;Cypraea;NA;genus;9724;Ypresian;;56;48.07
714650;occ;NA;NA;76588;Barycypraea singuensis;NA;species;113059;Chattian;;27.03;23.04
717162;occ;NA;NA;76993;Vicetia sowerbyi;NA;species;342467;Early Eocene;;56;48.07
717164;occ;NA;NA;76993;Bernaya (Bernaya) ellipsoides;NA;species;343061;Early Eocene;;56;48.07
718754;occ;NA;NA;42125;Gisortia gigantea;NA;species;114125;Lutetian;;48.07;41.03
718877;occ;NA;NA;77173;Callistocypraea (Miolyncina) prunum;NA;species;113704;Early Miocene;;23.04;15.98
718878;occ;NA;NA;77173;Barycypraea humerosa;NA;species;113707;Early Miocene;;23.04;15.98
718880;occ;NA;NA;77172;Barycypraea humerosa;NA;species;113707;Early Miocene;;23.04;15.98
718881;occ;NA;NA;77172;Callistocypraea (Miolyncina) prunum;NA;species;113704;Early Miocene;;23.04;15.98
718904;occ;NA;NA;77171;Callistocypraea (Miolyncina) prunum;NA;species;113704;Early Miocene;;23.04;15.98
718905;occ;NA;NA;77171;Barycypraea humerosa;NA;species;113707;Early Miocene;;23.04;15.98
718932;occ;NA;NA;77168;Barycypraea humerosa;NA;species;113707;Early Miocene;;23.04;15.98
718938;occ;NA;NA;77165;Erronea (Gratiadusta) nasuta;NA;species;113705;Early Miocene;;23.04;15.98
718958;occ;NA;NA;77164;Erronea (Gratiadusta) nasuta;NA;species;113705;Early Miocene;;23.04;15.98
718959;occ;NA;NA;77164;Barycypraea humerosa;NA;species;113707;Early Miocene;;23.04;15.98
718995;occ;NA;NA;77159;Cypraea (Erosaria) sindiensis;NA;species;113710;Rupelian;;33.9;27.03
719001;occ;NA;NA;77160;Barycypraea humerosa;NA;species;113707;Early Miocene;;23.04;15.98
719751;occ;NA;NA;77236;Gisortia;NA;genus;9895;Priabonian;;37.71;33.9
719832;occ;NA;NA;77254;Cypraea;NA;genus;9724;Middle Miocene;;15.98;11.63
721164;occ;NA;NA;77381;Gisortia murchisoni;NA;species;114122;Lutetian;;48.07;41.03
721165;occ;NA;NA;77396;Gisortia gigantea;NA;species;114125;Late Eocene;;37.71;33.9
721166;occ;NA;NA;77382;Gisortia gigantea;NA;species;114125;Lutetian;;48.07;41.03
721167;occ;NA;NA;77376;Gisortia gigantea;NA;species;114125;Lutetian;;48.07;41.03
721768;occ;NA;NA;77450;Cypraea (Erosaria) sindiensis;NA;species;113710;Early Oligocene;;33.9;27.03
721867;occ;NA;NA;77477;Callistocypraea (Miolyncina) prunum;NA;species;113704;Burdigalian;;20.45;15.98
721868;occ;NA;NA;77475;Callistocypraea (Miolyncina) prunum;NA;species;113704;Burdigalian;;20.45;15.98
721870;occ;NA;NA;77477;Luria (Basilitrona) jenkinsi;NA;species;343962;Burdigalian;;20.45;15.98
722562;occ;NA;NA;77527;Cypraea;NA;genus;9724;Pliocene;;5.333;2.58
722565;occ;NA;NA;77527;Lyncina carneola;NA;species;60026;Pliocene;;5.333;2.58
722937;occ;NA;NA;77629;Zonaria dertamygdaloides;NA;species;114846;Early Miocene;;23.04;15.98
722972;occ;NA;NA;77627;Zonaria dertamygdaloides;NA;species;114846;Early Miocene;;23.04;15.98
723080;occ;NA;NA;77646;Callistocypraea (Miolyncina) prunum;NA;species;113704;Early Miocene;;23.04;15.98
723122;occ;NA;NA;77650;Callistocypraea (Miolyncina) prunum;NA;species;113704;Early Miocene;;23.04;15.98
723123;occ;NA;NA;77650;Luria (Basilitrona) jenkinsi;NA;species;343962;Early Miocene;;23.04;15.98
723503;occ;NA;NA;77624;Zonaria dertamygdaloides;NA;species;114846;Early Miocene;;23.04;15.98
724212;occ;NA;NA;60955;Cypraea;NA;genus;9724;Late Eocene;;37.71;33.9
724395;occ;NA;NA;77791;Cypraea;NA;genus;9724;Late Oligocene;;27.03;23.04
725233;occ;NA;NA;77902;Cypraea (Luponia) subchinensis;NA;species;343927;Late Miocene;;11.63;5.333
725279;occ;NA;NA;77904;Cypraea (Erosaria) malekulensis;NA;species;343928;Pliocene;;5.333;2.58
725293;occ;NA;NA;77905;Erronea cylindrica;NA;species;60029;Pleistocene;;2.58;0.0117
725294;occ;NA;NA;77905;Monetaria moneta;NA;species;60041;Pleistocene;;2.58;0.0117
725312;occ;NA;NA;77906;Monetaria moneta;NA;species;60041;Pleistocene;;2.58;0.0117
725313;occ;NA;NA;77906;Naria erosa;NA;species;60031;Pleistocene;;2.58;0.0117
725332;occ;NA;NA;77907;Monetaria moneta;NA;species;60041;Holocene;;0.0117;0
725570;occ;NA;NA;77941;Ipsa childreni;NA;species;91930;Late Pleistocene;;0.129;0.0117
725571;occ;NA;NA;77941;Cypraea (Lyncina) lynx;NA;species;60039;Late Pleistocene;;0.129;0.0117
725573;occ;NA;NA;77940;Monetaria moneta;NA;species;60041;Early Pliocene;;5.333;3.6
725581;occ;NA;NA;77939;Ipsa childreni;NA;species;91930;Late Miocene;;11.63;5.333
725582;occ;NA;NA;77939;Cypraea tigris;NA;species;60045;Late Miocene;;11.63;5.333
725585;occ;NA;NA;77936;Pustularia globulus;NA;species;342933;Pleistocene;;2.58;0.0117
725602;occ;NA;NA;77937;Naria erosa;NA;species;60031;Pliocene;Pleistocene;5.333;0.0117
725603;occ;NA;NA;77937;Cypraea (Erosaria) caputserpentis;NA;species;147494;Pliocene;Pleistocene;5.333;0.0117
725604;occ;NA;NA;77937;Monetaria moneta;NA;species;60041;Pliocene;Pleistocene;5.333;0.0117
725605;occ;NA;NA;77937;Ipsa childreni;NA;species;91930;Pliocene;Pleistocene;5.333;0.0117
725606;occ;NA;NA;77937;Lyncina carneola;NA;species;60026;Pliocene;Pleistocene;5.333;0.0117
725607;occ;NA;NA;77937;Cypraea (Lyncina) lynx;NA;species;60039;Pliocene;Pleistocene;5.333;0.0117
725608;occ;NA;NA;77937;Talparia talpa;NA;species;342289;Pliocene;Pleistocene;5.333;0.0117
725609;occ;NA;NA;77937;Mauritia arabica;NA;species;60023;Pliocene;Pleistocene;5.333;0.0117
725610;occ;NA;NA;77937;Luria isabella;NA;species;60036;Pliocene;Pleistocene;5.333;0.0117
726499;occ;NA;NA;78043;Purpuradusta gracilis;NA;species;170610;Middle Pleistocene;;0.774;0.129
726500;occ;NA;NA;78043;Adusta pulchella;NA;species;342706;Middle Pleistocene;;0.774;0.129
726501;occ;NA;NA;78043;Erronea pyriformis;NA;species;135456;Middle Pleistocene;;0.774;0.129
726502;occ;NA;NA;78043;Notadusta punctata;NA;species;336811;Middle Pleistocene;;0.774;0.129
726652;occ;NA;NA;78046;Pedicularia navakaensis;NA;species;343071;Pleistocene;;2.58;0.0117
726701;occ;NA;NA;43325;Monetaria moneta;NA;species;60041;Holocene;;0.0117;0
726704;occ;NA;NA;43306;Luria isabella;NA;species;60036;Holocene;;0.0117;0
726705;occ;NA;NA;43306;Ipsa childreni;NA;species;91930;Holocene;;0.0117;0
726706;occ;NA;NA;43306;Pedicularia pacifica;NA;species;340662;Holocene;;0.0117;0
726769;occ;NA;NA;78036;Cypraea (Erosaria) helvola;NA;species;60034;Early Pleistocene;;2.58;0.774
726770;occ;NA;NA;78037;Cypraea (Erosaria) helvola;NA;species;60034;Early Pleistocene;;2.58;0.774
726771;occ;NA;NA;78037;Cypraea (Staphylaea) nucleus;NA;species;170608;Early Pleistocene;;2.58;0.774
726772;occ;NA;NA;78042;Cypraea (Lyncina) lynx;NA;species;60039;Pleistocene;;2.58;0.0117
726773;occ;NA;NA;78042;Lyncina carneola;NA;species;60026;Pleistocene;;2.58;0.0117
726774;occ;NA;NA;78042;Pustularia cicercula;NA;species;170606;Pleistocene;;2.58;0.0117
726775;occ;NA;NA;78042;Cypraea (Erosaria) caputserpentis;NA;species;147494;Pleistocene;;2.58;0.0117
726792;occ;NA;NA;78043;Cypraea (Lyncina) porteri;NA;species;342699;Middle Pleistocene;;0.774;0.129
726793;occ;NA;NA;78043;Cypraea (Erosaria) helvola;NA;species;60034;Middle Pleistocene;;0.774;0.129
726794;occ;NA;NA;78043;Cypraea (Erosaria) guttata;NA;species;342626;Middle Pleistocene;;0.774;0.129
726798;occ;NA;NA;78046;Cypraea (Erosaria) guttata;NA;species;342626;Pleistocene;;2.58;0.0117
726808;occ;NA;NA;78052;Erosaria miliaris;NA;species;60040;Late Pliocene;;3.6;2.58
726813;occ;NA;NA;77906;Monetaria moneta;NA;species;60041;Pleistocene;;2.58;0.0117
726814;occ;NA;NA;77906;Naria erosa;NA;species;60031;Pleistocene;;2.58;0.0117
726815;occ;NA;NA;77906;Erronea cylindrica;NA;species;60029;Pleistocene;;2.58;0.0117
726816;occ;NA;NA;77907;Arestorides argus;NA;species;60024;Holocene;;0.0117;0
726817;occ;NA;NA;77907;Monetaria moneta;NA;species;60041;Holocene;;0.0117;0
726818;occ;NA;NA;68180;Cypraea (Erosaria) helvola;NA;species;60034;Pliocene;;5.333;2.58
726819;occ;NA;NA;68180;Cypraea (Staphylaea) nucleus;NA;species;170608;Pliocene;;5.333;2.58
726820;occ;NA;NA;68180;Erronea (Cribraria);NA;subgenus;9699;Pliocene;;5.333;2.58
726826;occ;NA;NA;68181;Cypraea (Erosaria) helvola;NA;species;60034;Pliocene;;5.333;2.58
726834;occ;NA;NA;68295;Cypraea (Erosaria) helvola;NA;species;60034;Middle Miocene;;15.98;11.63
726838;occ;NA;NA;68295;Lyncina carneola;NA;species;60026;Middle Miocene;;15.98;11.63
726921;occ;NA;NA;78077;Luria isabella;NA;species;60036;Late Pleistocene;;0.129;0.0117
726922;occ;NA;NA;78077;Mauritia arabica;NA;species;60023;Late Pleistocene;;0.129;0.0117
726923;occ;NA;NA;78077;Arestorides argus;NA;species;60024;Late Pleistocene;;0.129;0.0117
726924;occ;NA;NA;78077;Lyncina carneola;NA;species;60026;Late Pleistocene;;0.129;0.0117
726925;occ;NA;NA;78076;Luria isabella;NA;species;60036;Late Pleistocene;;0.129;0.0117
726926;occ;NA;NA;78076;Lyncina carneola;NA;species;60026;Late Pleistocene;;0.129;0.0117
726927;occ;NA;NA;78076;Cypraea (Erosaria) helvola;NA;species;60034;Late Pleistocene;;0.129;0.0117
726929;occ;NA;NA;78074;Cypraea (Lyncina) lynx;NA;species;60039;Late Pleistocene;;0.129;0.0117
726930;occ;NA;NA;78074;Lyncina carneola;NA;species;60026;Late Pleistocene;;0.129;0.0117
726945;occ;NA;NA;78060;Luria isabella;NA;species;60036;Messinian;;7.246;5.333
726946;occ;NA;NA;78060;Cypraea (Lyncina) lynx;NA;species;60039;Messinian;;7.246;5.333
726947;occ;NA;NA;78060;Erosaria everwijni;NA;species;337387;Messinian;;7.246;5.333
726948;occ;NA;NA;78060;Ipsa childreni;NA;species;91930;Messinian;;7.246;5.333
726949;occ;NA;NA;78060;Cypraea (Erosaria) helvola;NA;species;60034;Messinian;;7.246;5.333
726980;occ;NA;NA;78073;Cribrarula cribraria;NA;species;335303;Pliocene;;5.333;2.58
730294;occ;NA;NA;78437;Prozonarina fabagina;NA;species;114844;Tortonian;;11.63;7.246
730718;occ;NA;NA;78521;Cypraea;NA;genus;9724;Burdigalian;;20.45;15.98
730995;occ;NA;NA;78548;Prozonarina fabagina;NA;species;114844;Langhian;;15.98;13.82
731015;occ;NA;NA;78546;Prozonarina fabagina;NA;species;114844;Burdigalian;;20.45;15.98
731550;occ;NA;NA;78565;Gisortia gigantea;NA;species;114125;Priabonian;;37.71;33.9
731576;occ;NA;NA;78566;Gisortia gigantea;NA;species;114125;Late Eocene;;37.71;33.9
732513;occ;NA;NA;78617;Cypraeovula;NA;genus;336483;Priabonian;;37.71;33.9
732514;occ;NA;NA;78617;Cypraea;NA;genus;9724;Priabonian;;37.71;33.9
733067;occ;NA;NA;78647;Cypraea;NA;genus;9724;Badenian;;13.82;12.8
733068;occ;NA;NA;78647;Cypraea;NA;genus;9724;Badenian;;13.82;12.8
733149;occ;NA;NA;78653;Cypraea;NA;genus;9724;Badenian;;13.82;12.8
733190;occ;NA;NA;78661;Cypraea;NA;genus;9724;Badenian;;13.82;12.8
734830;occ;NA;NA;78832;Schilderia flavicula;NA;species;341088;Early Miocene;;23.04;15.98
736323;occ;NA;NA;77304;Gisortia murchisoni;NA;species;114122;Early Eocene;;56;48.07
736413;occ;NA;NA;79082;Cypraea;NA;genus;9724;Middle Miocene;;15.98;11.63
736444;occ;NA;NA;79079;Cypraea;NA;genus;9724;Early Miocene;;23.04;15.98
736461;occ;NA;NA;79077;Cypraea;NA;genus;9724;Middle Miocene;;15.98;11.63
736600;occ;NA;NA;79099;Cypraea;NA;genus;9724;Early Miocene;;23.04;15.98
