occurrence_no;record_type;reid_no;flags;collection_no;accepted_name;accepted_attr;accepted_rank;accepted_no;early_interval;late_interval;max_ma;min_ma
428821;occ;NA;NA;5437;Cypraea;NA;genus;9724;Bartonian;;41.03;37.71
429914;occ;NA;NA;5436;Cypraea;NA;genus;9724;Bartonian;;41.03;37.71
429915;occ;NA;NA;5436;Cypraea;NA;genus;9724;Bartonian;;41.03;37.71
429916;occ;NA;NA;5436;Cypraea;NA;genus;9724;Bartonian;;41.03;37.71
429917;occ;NA;NA;5436;Cypraea;NA;genus;9724;Bartonian;;41.03;37.71
429918;occ;NA;NA;5436;Cypraea;NA;genus;9724;Bartonian;;41.03;37.71
431236;occ;NA;NA;42113;Cypraea;NA;genus;9724;Lutetian;;48.07;41.03
431286;occ;NA;NA;42121;Cypraea;NA;genus;9724;Early Pleistocene;;1.02;0.774
431335;occ;NA;NA;42126;Gisortia (Vicetia) stefaninii;NA;species;343958;Ypresian;;56;48.07
431343;occ;NA;NA;42127;Gisortia gigantea;NA;species;114125;Lutetian;;48.07;41.03
431472;occ;NA;NA;42136;Gisortia (Vicetia) stefaninii;NA;species;343958;Priabonian;;37.71;33.9
431535;occ;NA;NA;42144;Gisortia (Vicetia) stefaninii;NA;species;343958;Priabonian;;37.71;33.9
432111;occ;NA;NA;42173;Erronea (Cribraria) cincta;NA;species;342027;Late Miocene;;1.11;5.333
432197;occ;NA;NA;42224;Cypraea (Lyncina) lynx;NA;species;60039;Late Miocene;;1.11;5.333
432508;occ;NA;NA;42250;Cypraea (Cypraeorbis) heilprinii;NA;species;342951;Burdigalian;;20.45;15.98
432822;occ;NA;NA;42289;Barycypraea orangensis;NA;species;343027;Late Miocene;;1.11;5.333
432823;occ;NA;NA;42289;Erosaria (Erosaria) kutaiana;NA;species;343000;Late Miocene;;1.11;5.333
433085;occ;NA;NA;42294;Talparia (Arestorides) nahaensis;NA;species;339161;Late Pliocene;;3.6;2.58
433086;occ;NA;NA;42294;Naria erosa;NA;species;60031;Late Pliocene;;3.6;2.58
433129;occ;NA;NA;42305;Cypraea;NA;genus;9724;Calabrian;Middle Pleistocene;1.8;0.129
433130;occ;NA;NA;42305;Cypraea (Lyncina) schilderorum;NA;species;338756;Calabrian;Middle Pleistocene;1.8;0.129
433131;occ;NA;NA;42305;Lyncina carneola;NA;species;60026;Calabrian;Middle Pleistocene;1.8;0.129
433132;occ;NA;NA;42305;Cypraea (Erosaria) helvola;NA;species;60034;Calabrian;Middle Pleistocene;1.8;0.129
433609;occ;NA;NA;42362;Pustularia cicercula;NA;species;170606;Early Pleistocene;;2.58;0.774
433721;occ;NA;NA;42339;Cypraea;NA;genus;9724;Late Miocene;;11.63;5.333
433789;occ;NA;NA;42357;Naria erosa;NA;species;60031;Early Pleistocene;;2.58;0.774
433801;occ;NA;NA;42356;Talostolida teres;NA;species;170596;Middle Pleistocene;;0.774;0.129
433803;occ;NA;NA;42355;Cypraea (Staphylaea) nucleus;NA;species;170608;Middle Pleistocene;;0.774;0.129
433804;occ;NA;NA;42355;Cypraea (Palmadusta) asellus;NA;species;60025;Middle Pleistocene;;0.774;0.129
433863;occ;NA;NA;42347;Cypraea (Staphylaea) nucleus;NA;species;170608;Early Pleistocene;;1.02;0.774
434051;occ;NA;NA;42419;Loxacypraea chilona;NA;species;187671;Burdigalian;;20.45;15.98
434174;occ;NA;NA;42391;Afrozoila caputavisensis;NA;species;342010;Late Miocene;Pliocene;1.11;1.02
434380;occ;NA;NA;42443;Loxacypraea chilona;NA;species;187671;Burdigalian;;20.45;15.98
434593;occ;NA;NA;42459;Palaeocypraea (Palaeocypraea) libyca;NA;species;343965;Ypresian;;56;48.07
434594;occ;NA;NA;42459;Eucypraea ahmadi;NA;species;58279;Ypresian;;56;48.07
438268;occ;NA;NA;42488;Cypraea;NA;genus;9724;Late Eocene;;37.71;33.9
438274;occ;NA;NA;42489;Cypraea;NA;genus;9724;Late Eocene;;37.71;33.9
438321;occ;NA;NA;41760;Zonaria heilprinii;NA;species;249760;Burdigalian;;20.45;15.98
438322;occ;NA;NA;41760;Loxacypraea chilona;NA;species;187671;Burdigalian;;20.45;15.98
438852;occ;NA;NA;42828;Barycypraea saltoensis;NA;species;158362;Late Eocene;;37.71;33.9
439266;occ;NA;NA;42577;Loxacypraea chilona;NA;species;187671;Late Oligocene;;27.3;23.04
439272;occ;NA;NA;42579;Loxacypraea chilona;NA;species;187671;Late Oligocene;;27.3;23.04
439274;occ;NA;NA;42603;Loxacypraea chilona;NA;species;187671;Aquitanian;;27.3;20.45
440240;occ;NA;NA;43006;Pedicularia (Pedicularia);NA;subgenus;344086;Priabonian;;37.71;33.9
440558;occ;NA;NA;43049;Loxacypraea chilona;NA;species;187671;Serravallian;;13.82;1.11
441865;occ;NA;NA;43328;Cypraea;NA;genus;9724;Middle Eocene;;48.07;37.71
442045;occ;NA;NA;43361;Cypraea;NA;genus;9724;Early Miocene;;27.3;15.98
442055;occ;NA;NA;43365;Cypraea;NA;genus;9724;Early Miocene;;27.3;15.98
442078;occ;NA;NA;43368;Cypraea;NA;genus;9724;Early Miocene;;27.3;15.98
443909;occ;NA;NA;43722;Siphocypraea posei;NA;species;343167;Burdigalian;Langhian;20.45;13.82
445315;occ;NA;NA;43809;Ovulum;NA;genus;91128;Early Miocene;Middle Miocene;27.3;11.63
445361;occ;NA;NA;43814;Siphocypraea amandusi;NA;species;167382;Early Miocene;;27.3;15.98
450549;occ;NA;NA;44233;Bernaya (Protocypraea) kayei;NA;species;314275;Coniacian;;89.8;85.7
455978;occ;NA;NA;44959;Cypraea ohiroi;NA;species;336871;Langhian;;15.98;13.82
457532;occ;NA;NA;45036;Cypraea;NA;genus;9724;Kaiatan;;39.1;36.7
474012;occ;NA;NA;47022;Vicetia vredenburgi;NA;species;342047;Lutetian;;48.07;41.03
494011;occ;NA;NA;42632;Loxacypraea chilona;NA;species;187671;Aquitanian;;23.04;20.45
494029;occ;NA;NA;42627;Loxacypraea chilona;NA;species;187671;Aquitanian;;23.04;20.45
500290;occ;NA;NA;35118;Cypraea;NA;genus;9724;Late Oligocene;;27.3;23.04
501262;occ;NA;NA;42625;Loxacypraea chilona;NA;species;187671;Aquitanian;;23.04;20.45
501271;occ;NA;NA;42615;Loxacypraea chilona;NA;species;187671;Burdigalian;;20.45;15.98
502370;occ;NA;NA;51079;Cypraeidae;NA;family;60047;Waipawan;;56;52
502447;occ;NA;NA;51084;Zoila chathamensis;NA;species;335720;Waipawan;;56;52
502448;occ;NA;NA;51084;Cypraeidae;NA;family;60047;Waipawan;;56;52
502466;occ;NA;NA;51085;Zoila;NA;genus;10703;Waipawan;;56;52
502467;occ;NA;NA;51085;Notadusta;NA;genus;10188;Waipawan;;56;52
513102;occ;NA;NA;51886;Muracypraea cayapa;NA;species;92435;Pliocene;;5.333;2.58
514833;occ;23154;NA;41552;Muracypraea donmoorei;NA;species;167636;Early Pliocene;;5.333;3.6
515024;occ;NA;NA;52132;Bernaya (Protocypraea) kohatica;NA;species;66787;Selandian;Thanetian;61.66;56
515260;occ;27645;NA;52170;Muracypraea woodringi;NA;species;187675;Tortonian;;11.63;7.246
515277;occ;27646;NA;52173;Muracypraea woodringi;NA;species;187675;Middle Miocene;;15.98;11.63
515292;occ;27647;NA;52174;Muracypraea woodringi;NA;species;187675;Tortonian;;11.63;7.246
