it	posterior	prior	BD_lik	k_birth	k_death	RJ_hp	root_age	death_age	tot_length
31000	-2751.60512721829	-69.29992713625953	-2682.3052000820303	6	5	4.637633174993695	147.7878483103789	0.0	3256.3355761243356
32000	-2755.1029611202853	-70.33092919643283	-2684.7720319238524	6	4	5.014789249012815	147.7878483103789	0.0	3256.3355761243356
33000	-2752.0725402310272	-66.11171344699379	-2685.9608267840335	6	4	5.2028665987450475	147.7878483103789	0.0	3256.3355761243356
34000	-2754.757508907218	-57.68599637738187	-2697.071512529836	6	3	3.846966127872085	147.7878483103789	0.0	3256.3355761243356
35000	-2759.0436182210174	-55.818343849287906	-2703.2252743717295	6	3	4.6328920466672	147.7878483103789	0.0	3256.3355761243356
36000	-2752.5864714234363	-68.02935021449058	-2684.557121208946	6	4	2.6895684298698113	147.7878483103789	0.0	3256.3355761243356
37000	-2751.7911576592446	-64.87832683678656	-2686.912830822458	6	4	5.0573639922241105	147.7878483103789	0.0	3256.3355761243356
38000	-2756.292624863013	-69.67611255066302	-2686.6165123123496	6	5	3.938434482457187	147.7878483103789	0.0	3256.3355761243356
39000	-2754.943763447172	-73.68122674576962	-2681.2625367014025	7	4	4.632994433258761	147.7878483103789	0.0	3256.3355761243356
40000	-2750.8028800836137	-71.5989317154459	-2679.203948368168	7	4	4.2974496709273735	147.7878483103789	0.0	3256.3355761243356
41000	-2758.489470191551	-58.17143173301143	-2700.3180384585394	6	3	4.254046131767236	147.7878483103789	0.0	3256.3355761243356
42000	-2757.8568818480153	-64.59703853313539	-2693.25984331488	7	3	3.563592080967374	147.7878483103789	0.0	3256.3355761243356
43000	-2751.7959978282565	-68.3332554400109	-2683.4627423882457	6	4	2.6455571826134867	147.7878483103789	0.0	3256.3355761243356
44000	-2754.6057198993126	-63.01155306853544	-2691.5941668307773	6	4	3.567939646318012	147.7878483103789	0.0	3256.3355761243356
45000	-2762.8664778618668	-63.53724746475471	-2699.329230397112	7	3	4.114445426327544	147.7878483103789	0.0	3256.3355761243356
46000	-2754.0178696890307	-63.149891169132495	-2690.8679785198983	6	4	7.480597168496679	147.7878483103789	0.0	3256.3355761243356
47000	-2752.7185643674757	-66.55884786431196	-2686.1597165031635	6	4	2.388025779525379	147.7878483103789	0.0	3256.3355761243356
48000	-2758.8962615769856	-62.712687169340725	-2696.1835744076448	6	4	3.161625543193994	147.7878483103789	0.0	3256.3355761243356
49000	-2749.3737592651682	-67.317494613097	-2682.056264652071	6	5	5.739401118258319	147.7878483103789	0.0	3256.3355761243356
50000	-2748.9214006972475	-65.67520702996863	-2683.246193667279	6	5	5.069718870332507	147.7878483103789	0.0	3256.3355761243356
51000	-2753.3738063479905	-66.14529585381493	-2687.2285104941757	6	5	4.046840698969495	147.7878483103789	0.0	3256.3355761243356
52000	-2753.8345019475146	-65.68173273885213	-2688.1527692086624	6	5	4.586542450379291	147.7878483103789	0.0	3256.3355761243356
53000	-2757.3671345364073	-72.66684700522197	-2684.7002875311855	6	6	2.4694680981869523	147.7878483103789	0.0	3256.3355761243356
54000	-2754.4422372038625	-64.54961171034304	-2689.8926254935195	6	4	3.6786293432354293	147.7878483103789	0.0	3256.3355761243356
55000	-2747.186808953325	-68.61726335434004	-2678.569545598985	6	5	4.174737734683699	147.7878483103789	0.0	3256.3355761243356
56000	-2759.546346313152	-76.7519495530905	-2682.7943967600613	7	5	3.8413877781237993	147.7878483103789	0.0	3256.3355761243356
57000	-2752.015937456515	-73.31652596752079	-2678.6994114889944	6	6	4.99947555063348	147.7878483103789	0.0	3256.3355761243356
58000	-2750.421301618499	-67.62621690243219	-2682.795084716067	6	5	3.3933004416207915	147.7878483103789	0.0	3256.3355761243356
59000	-2752.488966859869	-78.69364960925657	-2673.7953172506122	7	5	5.089845473292549	147.7878483103789	0.0	3256.3355761243356
60000	-2748.103921816686	-71.23538239018421	-2676.868539426502	6	5	3.3349630776576746	147.7878483103789	0.0	3256.3355761243356
61000	-2747.3715244046857	-73.00878963011748	-2674.3627347745683	6	5	2.813770654519341	147.7878483103789	0.0	3256.3355761243356
62000	-2746.9916367885767	-67.11366069765042	-2679.877976090926	6	5	5.6391435026153705	147.7878483103789	0.0	3256.3355761243356
63000	-2748.2751155609535	-67.91709227936481	-2680.358023281589	6	5	4.028287113508092	147.7878483103789	0.0	3256.3355761243356
64000	-2747.244075527877	-74.24745673625094	-2672.996618791626	6	6	5.488998307406299	147.7878483103789	0.0	3256.3355761243356
65000	-2745.2902805739604	-71.90873060867348	-2673.381549965287	6	5	3.5672095789935447	147.7878483103789	0.0	3256.3355761243356
66000	-2736.021149167677	-73.86938807562774	-2662.151761092049	6	6	4.997912924513972	147.7878483103789	0.0	3256.3355761243356
67000	-2741.642466020551	-70.88126662487463	-2670.7611993956766	6	6	6.60988304630022	147.7878483103789	0.0	3256.3355761243356
68000	-2743.195550863491	-80.5692079867844	-2662.6263428767065	6	7	5.676123838876514	147.7878483103789	0.0	3256.3355761243356
69000	-2738.730441489798	-78.49841960908095	-2660.232021880717	6	6	6.303520435485241	147.7878483103789	0.0	3256.3355761243356
70000	-2745.4473499264664	-80.54702634156016	-2664.9003235849063	7	6	4.258689562613457	147.7878483103789	0.0	3256.3355761243356
71000	-2743.4896107610375	-84.04536328252738	-2659.44424747851	6	7	4.735424846572747	147.7878483103789	0.0	3256.3355761243356
72000	-2738.415902537059	-73.95202232493496	-2664.463880212124	6	6	4.646711731036788	147.7878483103789	0.0	3256.3355761243356
73000	-2738.7090843852197	-76.13527131060584	-2662.573813074614	6	6	3.7806992505243597	147.7878483103789	0.0	3256.3355761243356
74000	-2738.013332872744	-75.35968924626013	-2662.6536436264837	6	6	5.6723247437392335	147.7878483103789	0.0	3256.3355761243356
75000	-2738.9867395594847	-73.7857354688479	-2665.2010040906366	6	6	2.95335077079851	147.7878483103789	0.0	3256.3355761243356
76000	-2736.5513500767383	-74.05588126422104	-2662.495468812517	6	6	5.0896528172721816	147.7878483103789	0.0	3256.3355761243356
77000	-2734.797075515009	-74.44076976724143	-2660.3563057477677	6	6	2.4019033717816685	147.7878483103789	0.0	3256.3355761243356
78000	-2741.226927218668	-68.18240814718513	-2673.044519071483	6	5	4.657834713185471	147.7878483103789	0.0	3256.3355761243356
79000	-2753.231639525615	-81.65308551672686	-2671.5785540088877	7	5	4.048468985328068	147.7878483103789	0.0	3256.3355761243356
80000	-2741.486444791859	-74.36767086443396	-2667.118773927425	6	6	4.425585247982199	147.7878483103789	0.0	3256.3355761243356
81000	-2747.132006276847	-78.75738314097697	-2668.37462313587	6	6	3.699261726594016	147.7878483103789	0.0	3256.3355761243356
82000	-2746.1579942914054	-75.14973654988593	-2671.0082577415196	6	6	3.938037664365866	147.7878483103789	0.0	3256.3355761243356
83000	-2746.5975794835877	-72.69132143344925	-2673.9062580501386	6	6	4.846232380700805	147.7878483103789	0.0	3256.3355761243356
84000	-2744.9630154011684	-68.99872728361555	-2675.9642881175528	6	5	3.9766104436224374	147.7878483103789	0.0	3256.3355761243356
85000	-2749.6400397044385	-67.7096066362429	-2681.9304330681957	6	5	4.875590595236218	147.7878483103789	0.0	3256.3355761243356
86000	-2760.77405291073	-82.18077653057892	-2678.593276380151	6	7	5.485340848239638	147.7878483103789	0.0	3256.3355761243356
87000	-2746.6910121177825	-75.80381201094349	-2670.887200106839	6	6	2.97966613284789	147.7878483103789	0.0	3256.3355761243356
88000	-2750.89783497052	-71.525239140778	-2679.372595829742	6	6	5.020698098245642	147.7878483103789	0.0	3256.3355761243356
